"","variable","question"
"session_id","session_id","Session ID"
"publish_id","publish_id","Publish ID"
"collector","collector","Collector"
"language","language","Language"
"start_date","start_date","Start Date (America/Denver)"
"end_date","end_date","End Date (America/Denver)"
"status","status","Status"
"progress","progress","Progress"
"duration","duration","Duration (seconds)"
"q1","q1","Q1. [single-select] Which of the following best describes your relationship with law enforcement?"
"q2","q2","Q2. [single-select] Which best describes your role in law enforcement?"
"q2_other_key_in","q2_other_key_in","Q2. [single-select] Which best describes your role in law enforcement? (other key in)"
"q3","q3","Q3. [number] How long have you been a law enforcement officer?"
"q4","q4","Q4. [single-select] What type of law enforcement agency do you currently work for?"
"q5","q5","Q5. [single-select] Which best describes your position? If more than one apply, please choose the one that occupies most of your time."
"q5_other_key_in","q5_other_key_in","Q5. [single-select] Which best describes your position? If more than one apply, please choose the one that occupies most of your time. (other key in)"
"q6","q6","Q6. [single-select] Why did you decide to become a law enforcement officer? (Select one that most closely matches your experience.)"
"q6_other_key_in","q6_other_key_in","Q6. [single-select] Why did you decide to become a law enforcement officer? (Select one that most closely matches your experience.) (other key in)"
"q7_1","q7_1","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Getting to know community members and local businesses"
"q7_2","q7_2","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Solving a crime"
"q7_3","q7_3","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Stopping a crime in process"
"q7_4","q7_4","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Helping solve problems before a crime happens"
"q7_5","q7_5","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Ensuring pedestrians and cars are safe on the streets"
"q7_6","q7_6","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Making arrests"
"q7_7","q7_7","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Helping victims"
"q7_other","q7_other","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Other (key in)"
"q7_other_text","q7_other_text","Q7. [multi-select] Which aspects of the job give you the most satisfaction? (Check all that apply) Other (text)"
"q8_1","q8_1","Q8. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it while on duty as a police officer. Someone taking or trying to take something from you, using physical force or threat of physical force"
"q8_2","q8_2","Q8. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it while on duty as a police officer. Someone injuring or threatening to injure you with a weapon or physical force"
"q8_3","q8_3","Q8. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it while on duty as a police officer. Someone threatening your safety by repeatedly contacting you, publicizing information about you, or followin"
"q8_4","q8_4","Q8. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it while on duty as a police officer. Someone shooting at you with a gun"
"q8_5","q8_5","Q8. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it while on duty as a police officer. Someone trying to kill you"
"q8_6","q8_6","Q8. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it while on duty as a police officer. None of the above"
"q9","q9","Q9. [single-select] For the questions you answered “Yes” to, how many separate incidents are you describing?"
"q10_1","q10_1","Q10. [multi-select] Were you able to get help to recover from the impact these incidents had on your mental health, physical health, or finances? Yes, through the department"
"q10_2","q10_2","Q10. [multi-select] Were you able to get help to recover from the impact these incidents had on your mental health, physical health, or finances? Yes, outside the department"
"q10_3","q10_3","Q10. [multi-select] Were you able to get help to recover from the impact these incidents had on your mental health, physical health, or finances? No"
"q10_4","q10_4","Q10. [multi-select] Were you able to get help to recover from the impact these incidents had on your mental health, physical health, or finances? I don’t know"
"q11_1","q11_1","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone taking or trying to take something from you, using physical force or th"
"q11_2","q11_2","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone injuring or threatening to injure you with a weapon or physical force"
"q11_3","q11_3","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone making you afraid for your safety by repeatedly contacting you, publici"
"q11_4","q11_4","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone shooting at you with a gun"
"q11_5","q11_5","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone trying to kill you"
"q11_6","q11_6","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone forcing you to perform labor or sex work"
"q11_7","q11_7","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone forcing, or trying to force, sex or sexual contact with you"
